"","lat_lon","gridID"
"6192","34.58361_-77.395",67
"6193","34.71778_-77.43111",67
"6194","34.61861_-77.41889",67
"6195","34.72083_-77.41667",67
"6196","34.72806_-77.38944",67
"6197","34.58667_-77.43222",67
"6198","34.61861_-77.41611",67
"6199","34.61889_-77.42444",67
"6200","34.69861_-77.41028",67
"6201","34.62083_-77.38333",67
"6202","34.69778_-77.4175",67
"6203","34.685_-77.37028",67
"6204","34.59028_-77.43583",67
"6205","34.72861_-77.39611",67
"6206","34.57861_-77.4225",67
"6207","34.65472_-77.38028",67
"6208","34.63417_-77.3425",67
"6209","34.70278_-77.42778",67
"6210","34.60306_-77.37417",67
"6211","34.67306_-77.37",67
"6212","34.63528_-77.34222",67
"6213","34.70722_-77.39",67
"6214","34.59389_-77.40278",67
"6215","34.69694_-77.41667",67
"6216","34.57556_-77.41833",67
"6217","34.72639_-77.4225",67
"6218","34.57667_-77.36444",67
"6219","34.70306_-77.37806",67
"6220","34.5975_-77.43694",67
"6221","34.68528_-77.37028",67
"6222","34.72694_-77.35778",67
"6223","34.57194_-77.41389",67
"6224","34.6_-77.37556",67
"6225","34.63028_-77.34667",67
"6226","34.72222_-77.40889",67
"6227","34.5825_-77.42583",67
"6228","34.67222_-77.39861",67
"6229","34.66972_-77.35972",67
"6230","34.60861_-77.36611",67
"6231","34.69583_-77.41583",67
"6232","34.62861_-77.35056",67
"6233","34.71917_-77.43028",67
"6234","34.58417_-77.3775",67
"6235","34.61667_-77.41444",67
"6236","34.70028_-77.42722",67
"6237","34.66611_-77.38833",67
"6238","34.58417_-77.37694",67
"6239","34.72583_-77.38139",67
"6240","34.58056_-77.42528",67
"6241","34.61889_-77.38639",67
"6242","34.6175_-77.4125",67
"6243","34.67889_-77.37306",67
"6244","34.65306_-77.34833",67
"6245","34.61167_-77.40333",67
"6246","34.7375_-77.4325",67
"6247","34.60139_-77.38361",67
"6248","34.65278_-77.34944",67
"6249","34.71278_-77.39722",67
"6250","34.59028_-77.43528",67
"6251","34.6_-77.43639",67
"6252","34.68972_-77.37194",67
"6253","34.56972_-77.36083",67
"6254","34.67639_-77.37722",67
"6255","34.57306_-77.41611",67
"6256","34.61944_-77.38556",67
"6257","34.67111_-77.36222",67
"6258","34.57306_-77.41667",67
"6259","34.72917_-77.36222",67
"6260","34.60139_-77.3825",67
"6261","34.61861_-77.42278",67
"6262","34.6925_-77.42083",67
"6263","34.70139_-77.41333",67
"6264","34.61472_-77.40861",67
"6265","34.68667_-77.37111",67
"6266","34.5975_-77.43722",67
"6267","34.70028_-77.37639",67
"6268","34.57667_-77.42167",67
"6269","34.64722_-77.37528",67
"6270","34.63611_-77.34167",67
"6271","34.605_-77.37167",67
"6272","34.67389_-77.37306",67
